Dist1,Dist2,Dist3,Dist4,Dist5,Dist6,Dist7,Choice,Velocity
67,138,70,149,104,77,70,8.0,0.1599999999999994
68,123,84,149,101,67,64,3.0,0.2799999999999996
73,132,61,149,88,58,57,8.0,0.0049999999999994
72,122,90,149,90,54,52,4.0,0.2499999999999995
80,133,65,149,64,35,34,8.0,0.2049999999999995
79,137,70,149,56,31,29,2.0,-0.0400000000000006
75,123,60,149,80,44,43,2.0,-0.3
67,109,149,148,104,59,54,1.0,-0.0999999999999998
68,110,150,149,103,60,55,8.0,2.0990154059319366e-16
75,125,59,149,80,45,44,3.0,0.2800000000000003
78,132,64,149,66,37,35,2.0,-0.0599999999999998
72,118,149,149,91,52,49,2.0,-0.3
62,98,150,107,120,71,64,2.0,-0.3
53,82,149,43,145,87,72,8.0,-0.0999999999999998
54,81,150,43,148,84,73,4.0,0.2200000000000003
63,88,149,54,145,75,65,8.0,0.0450000000000001
64,88,150,52,148,73,62,2.0,-0.1949999999999999
